DATE,MABMM301USM189S
1970-03-01,587300000000
1970-04-01,588400000000
1970-05-01,591500000000
1970-06-01,595200000000
1970-07-01,599100000000
1970-08-01,604900000000
1970-09-01,611200000000
1970-10-01,616400000000
1970-11-01,621100000000
1970-12-01,626500000000
1971-01-01,632900000000
1971-02-01,641000000000
1971-03-01,649900000000
1971-04-01,658400000000
1971-05-01,666700000000
1971-06-01,673000000000
1971-07-01,679600000000
1971-08-01,685500000000
1971-09-01,692500000000
1971-10-01,698400000000
1971-11-01,704600000000
1971-12-01,710300000000
1972-01-01,717700000000
1972-02-01,725700000000
1972-03-01,733500000000
1972-04-01,738400000000
1972-05-01,743300000000
1972-06-01,749700000000
1972-07-01,759500000000
1972-08-01,768700000000
1972-09-01,778300000000
1972-10-01,786900000000
1972-11-01,793900000000
1972-12-01,802300000000
1973-01-01,810300000000
1973-02-01,814100000000
1973-03-01,815300000000
1973-04-01,819700000000
1973-05-01,826800000000
1973-06-01,833300000000
1973-07-01,836500000000
1973-08-01,838800000000
1973-09-01,839300000000
1973-10-01,842600000000
1973-11-01,848900000000
1973-12-01,855500000000
1974-01-01,859700000000
1974-02-01,864200000000
1974-03-01,870100000000
1974-04-01,872900000000
1974-05-01,874600000000
1974-06-01,877800000000
1974-07-01,881400000000
1974-08-01,884100000000
1974-09-01,887900000000
1974-10-01,893300000000
1974-11-01,898600000000
1974-12-01,902100000000
1975-01-01,906300000000
1975-02-01,914100000000
1975-03-01,925000000000
1975-04-01,935100000000
1975-05-01,947900000000
1975-06-01,963000000000
1975-07-01,975100000000
1975-08-01,983100000000
1975-09-01,991500000000
1975-10-01,997800000000
1975-11-01,1006900000000
1975-12-01,1016200000000
1976-01-01,1026599999999.9999
1976-02-01,1040300000000
1976-03-01,1050000000000
1976-04-01,1060800000000
1976-05-01,1072099999999.9999
1976-06-01,1077599999999.9999
1976-07-01,1086300000000
1976-08-01,1098700000000
1976-09-01,1110800000000
1976-10-01,1125000000000
1976-11-01,1138200000000
1976-12-01,1152000000000
1977-01-01,1165200000000
1977-02-01,1177600000000
1977-03-01,1188500000000
1977-04-01,1199600000000
1977-05-01,1209000000000
1977-06-01,1217800000000
1977-07-01,1226700000000
1977-08-01,1237000000000
1977-09-01,1246200000000
1977-10-01,1254000000000
1977-11-01,1262400000000
1977-12-01,1270300000000
1978-01-01,1279700000000
1978-02-01,1285500000000
1978-03-01,1292200000000
1978-04-01,1300400000000
1978-05-01,1310500000000
1978-06-01,1318500000000
1978-07-01,1324100000000
1978-08-01,1333500000000
1978-09-01,1345000000000
1978-10-01,1352300000000
1978-11-01,1359100000000
1978-12-01,1366000000000
1979-01-01,1371600000000
1979-02-01,1377800000000
1979-03-01,1387800000000
1979-04-01,1402100000000
1979-05-01,1410200000000
1979-06-01,1423000000000
1979-07-01,1434800000000
1979-08-01,1446600000000
1979-09-01,1454100000000
1979-10-01,1460400000000
1979-11-01,1465900000000
1979-12-01,1473700000000
1980-01-01,1482700000000
1980-02-01,1494600000000
1980-03-01,1499800000000
1980-04-01,1502200000000
1980-05-01,1512300000000
1980-06-01,1529200000000
1980-07-01,1545500000000
1980-08-01,1561500000000
1980-09-01,1574000000000
1980-10-01,1584800000000
1980-11-01,1595800000000
1980-12-01,1599800000000
1981-01-01,1606900000000
1981-02-01,1618700000000
1981-03-01,1636600000000
1981-04-01,1659200000000
1981-05-01,1664200000000
1981-06-01,1670300000000
1981-07-01,1681900000000
1981-08-01,1694300000000
1981-09-01,1706000000000
1981-10-01,1721800000000
1981-11-01,1736100000000
1981-12-01,1755500000000
1982-01-01,1770400000000
1982-02-01,1774500000000
1982-03-01,1786500000000
1982-04-01,1803900000000
1982-05-01,1815400000000
1982-06-01,1826000000000
1982-07-01,1831500000000.0
1982-08-01,1845200000000.0
1982-09-01,1858400000000.0
1982-10-01,1869700000000.0
1982-11-01,1883700000000.0
1982-12-01,1905900000000.0
1983-01-01,1959400000000.0
1983-02-01,1996800000000.0
1983-03-01,2015200000000.0
1983-04-01,2028600000000.0
1983-05-01,2043100000000.0
1983-06-01,2053500000000.0
1983-07-01,2064800000000.0002
1983-08-01,2074000000000.0
1983-09-01,2083199999999.9998
1983-10-01,2099199999999.9998
1983-11-01,2112300000000.0002
1983-12-01,2123500000000.0
1984-01-01,2138199999999.9998
1984-02-01,2158199999999.9998
1984-03-01,2175199999999.9998
1984-04-01,2191699999999.9998
1984-05-01,2204100000000.0
1984-06-01,2215100000000.0
1984-07-01,2223500000000.0
1984-08-01,2230400000000.0
1984-09-01,2244400000000.0
1984-10-01,2258900000000.0
1984-11-01,2281400000000.0
1984-12-01,2306400000000.0
1985-01-01,2332400000000.0
1985-02-01,2354100000000.0
1985-03-01,2366200000000.0
1985-04-01,2375400000000.0
1985-05-01,2389500000000.0
1985-06-01,2412600000000.0
1985-07-01,2429500000000.0
1985-08-01,2444000000000.0
1985-09-01,2456400000000.0
1985-10-01,2468000000000.0
1985-11-01,2477800000000.0
1985-12-01,2492100000000.0
1986-01-01,2502100000000.0
1986-02-01,2512900000000.0
1986-03-01,2533100000000.0
1986-04-01,2557800000000.0
1986-05-01,2584800000000.0
1986-06-01,2605000000000.0
1986-07-01,2626600000000.0
1986-08-01,2646500000000.0
1986-09-01,2667800000000.0
1986-10-01,2687400000000.0
1986-11-01,2701300000000.0
1986-12-01,2728000000000.0
1987-01-01,2743900000000.0
1987-02-01,2747500000000.0
1987-03-01,2753700000000.0
1987-04-01,2767700000000.0
1987-05-01,2772900000000.0
1987-06-01,2774600000000.0
1987-07-01,2779000000000.0
1987-08-01,2788200000000.0
1987-09-01,2799500000000.0
1987-10-01,2814800000000.0
1987-11-01,2818900000000.0
1987-12-01,2826400000000.0
1988-01-01,2847400000000.0
1988-02-01,2870400000000.0
1988-03-01,2890700000000.0
1988-04-01,2910700000000.0
1988-05-01,2926000000000.0
1988-06-01,2938400000000.0
1988-07-01,2947200000000.0
1988-08-01,2952000000000.0
1988-09-01,2956900000000.0
1988-10-01,2965300000000.0
1988-11-01,2980200000000.0
1988-12-01,2988200000000.0
1989-01-01,2991700000000.0
1989-02-01,2992200000000.0
1989-03-01,2999700000000.0
1989-04-01,3006000000000.0
1989-05-01,3011600000000.0
1989-06-01,3027900000000.0
1989-07-01,3052400000000.0
1989-08-01,3074400000000.0
1989-09-01,3092500000000.0
1989-10-01,3114100000000.0
1989-11-01,3133300000000.0
1989-12-01,3152500000000.0
1990-01-01,3166800000000.0
1990-02-01,3179200000000.0
1990-03-01,3190100000000.0
1990-04-01,3201600000000.0
1990-05-01,3200600000000.0
1990-06-01,3213700000000.0
1990-07-01,3224500000000.0
1990-08-01,3242000000000.0
1990-09-01,3254600000000.0
1990-10-01,3259300000000.0
1990-11-01,3262600000000.0
1990-12-01,3271800000000.0
1991-01-01,3287700000000.0
1991-02-01,3304500000000.0
1991-03-01,3321900000000.0
1991-04-01,3332400000000.0
1991-05-01,3343000000000.0
1991-06-01,3351900000000.0
1991-07-01,3356100000000.0
1991-08-01,3355000000000.0
1991-09-01,3354900000000.0
1991-10-01,3360100000000.0
1991-11-01,3365500000000.0
1991-12-01,3372200000000.0
1992-01-01,3381200000000.0
1992-02-01,3400000000000.0
1992-03-01,3403900000000.0
1992-04-01,3399700000000.0
1992-05-01,3398600000000.0
1992-06-01,3393400000000.0
1992-07-01,3393900000000.0
1992-08-01,3398800000000.0
1992-09-01,3410300000000.0
1992-10-01,3423800000000.0
1992-11-01,3426500000000.0
1992-12-01,3424700000000.0
1993-01-01,3419100000000.0
1993-02-01,3414500000000.0
1993-03-01,3411700000000.0
1993-04-01,3411300000000.0
1993-05-01,3436900000000.0
1993-06-01,3442400000000.0
1993-07-01,3442000000000.0
1993-08-01,3445700000000.0
1993-09-01,3452200000000.0
1993-10-01,3456700000000.0
1993-11-01,3470100000000.0
1993-12-01,3474500000000.0
1994-01-01,3474900000000.0
1994-02-01,3475700000000.0
1994-03-01,3480100000000.0
1994-04-01,3481300000000.0
1994-05-01,3490800000000.0
1994-06-01,3479500000000.0
1994-07-01,3488200000000.0
1994-08-01,3485700000000.0
1994-09-01,3486100000000.0
1994-10-01,3484300000000.0
1994-11-01,3487200000000.0
1994-12-01,3486400000000.0
1995-01-01,3492400000000.0
1995-02-01,3489900000000.0
1995-03-01,3491100000000.0
1995-04-01,3499200000000.0
1995-05-01,3524200000000.0
1995-06-01,3548900000000.0
1995-07-01,3567400000000.0
1995-08-01,3589000000000.0
1995-09-01,3602100000000.0
1995-10-01,3613400000000.0
1995-11-01,3619900000000.0
1995-12-01,3629500000000.0
1996-01-01,3647900000000.0
1996-02-01,3661800000000.0
1996-03-01,3686900000000.0
1996-04-01,3697700000000.0
1996-05-01,3709600000000.0
1996-06-01,3722500000000.0
1996-07-01,3737100000000.0
1996-08-01,3744000000000.0
1996-09-01,3753400000000.0
1996-10-01,3772800000000.0
1996-11-01,3795100000000.0
1996-12-01,3818600000000.0
1997-01-01,3834600000000.0
1997-02-01,3846300000000.0
1997-03-01,3861200000000.0
1997-04-01,3877000000000.0
1997-05-01,3889200000000.0
1997-06-01,3906000000000.0
1997-07-01,3923900000000.0
1997-08-01,3957400000000.0
1997-09-01,3973100000000.0
1997-10-01,3992300000000.0
1997-11-01,4014800000000.0
1997-12-01,4032900000000.0
1998-01-01,4056200000000.0
1998-02-01,4088900000000.0
1998-03-01,4114300000000.0
1998-04-01,4140200000000.0
1998-05-01,4164399999999.9995
1998-06-01,4184100000000.0005
1998-07-01,4203800000000.0
1998-08-01,4228700000000.0
1998-09-01,4267600000000.0005
1998-10-01,4307700000000.0
1998-11-01,4346399999999.9995
1998-12-01,4375200000000.0
1999-01-01,4402600000000.0
1999-02-01,4425300000000.0
1999-03-01,4432100000000.0
1999-04-01,4460700000000.0
1999-05-01,4485300000000.0
1999-06-01,4507200000000.0
1999-07-01,4534500000000.0
1999-08-01,4551700000000.0
1999-09-01,4567700000000.0
1999-10-01,4591500000000.0
1999-11-01,4610500000000.0
1999-12-01,4638000000000.0
2000-01-01,4666200000000.0
2000-02-01,4679400000000.0
2000-03-01,4710200000000.0
2000-04-01,4766100000000.0
2000-05-01,4753900000000.0
2000-06-01,4771800000000.0
2000-07-01,4789400000000.0
2000-08-01,4817500000000.0
2000-09-01,4853200000000.0
2000-10-01,4869200000000.0
2000-11-01,4880300000000.0
2000-12-01,4925000000000.0
2001-01-01,4975700000000.0
2001-02-01,5014100000000.0
2001-03-01,5072000000000.0
2001-04-01,5135900000000.0
2001-05-01,5133000000000.0
2001-06-01,5173500000000.0
2001-07-01,5203400000000.0
2001-08-01,5237200000000.0
2001-09-01,5348400000000.0
2001-10-01,5337100000000.0
2001-11-01,5380800000000.0
2001-12-01,5433800000000.0
2002-01-01,5454100000000.0
2002-02-01,5483400000000.0
2002-03-01,5495200000000.0
2002-04-01,5495400000000.0
2002-05-01,5521500000000.0
2002-06-01,5546500000000.0
2002-07-01,5589100000000.0
2002-08-01,5631600000000.0
2002-09-01,5656000000000.0
2002-10-01,5700400000000.0
2002-11-01,5750600000000.0
2002-12-01,5772000000000.0
2003-01-01,5804600000000.0
2003-02-01,5840700000000.0
2003-03-01,5861400000000.0
2003-04-01,5898800000000.0
2003-05-01,5959300000000.0
2003-06-01,5996000000000.0
2003-07-01,6042700000000.0
2003-08-01,6100800000000.0
2003-09-01,6072800000000.0
2003-10-01,6063600000000.0
2003-11-01,6069100000000.0
2003-12-01,6067300000000.0
2004-01-01,6075500000000.0
2004-02-01,6114300000000.0
2004-03-01,6150100000000.0
2004-04-01,6191200000000.0
2004-05-01,6268100000000.0
2004-06-01,6270500000000.0
2004-07-01,6284300000000.0
2004-08-01,6310600000000.0
2004-09-01,6345300000000.0
2004-10-01,6373300000000.0
2004-11-01,6399800000000.0
2004-12-01,6418300000000.0
2005-01-01,6424500000000.0
2005-02-01,6432800000000.0
2005-03-01,6441900000000.0
2005-04-01,6455900000000.0
2005-05-01,6473300000000.0
2005-06-01,6505800000000.0
2005-07-01,6537400000000.0
2005-08-01,6570200000000.0
2005-09-01,6604300000000.0
2005-10-01,6638600000000.0
2005-11-01,6655000000000.0
2005-12-01,6681900000000.0
2006-01-01,6724300000000.0
2006-02-01,6748600000000.0
2006-03-01,6762900000000.0
2006-04-01,6800100000000.0
2006-05-01,6806900000000.0
2006-06-01,6844900000000.0
2006-07-01,6886300000000.0
2006-08-01,6917100000000.0
2006-09-01,6944200000000.0
2006-10-01,6993300000000.0
2006-11-01,7028400000000.0
2006-12-01,7071600000000.0
2007-01-01,7109600000000.0
2007-02-01,7125300000000.0
2007-03-01,7159100000000.0
2007-04-01,7231300000000.0
2007-05-01,7245400000000.0
2007-06-01,7278600000000.0
2007-07-01,7309000000000.0
2007-08-01,7385100000000.0
2007-09-01,7403200000000.0
2007-10-01,7417200000000.0
2007-11-01,7441800000000.0
2007-12-01,7471600000000.0
2008-01-01,7505500000000.0
2008-02-01,7590600000000.0
2008-03-01,7656200000000.0
2008-04-01,7699200000000.0
2008-05-01,7711200000000.0
2008-06-01,7728900000000.0
2008-07-01,7775400000000.0
2008-08-01,7790200000000.0
2008-09-01,7859500000000.0
2008-10-01,7965300000000.0
2008-11-01,8015800000000.0
2008-12-01,8192100000000.0
2009-01-01,8273700000000.001
2009-02-01,8303100000000.0
2009-03-01,8369299999999.999
2009-04-01,8372900000000.0
2009-05-01,8430700000000.001
2009-06-01,8440500000000.0
2009-07-01,8445100000000.0
2009-08-01,8445000000000.0
2009-09-01,8444200000000.001
2009-10-01,8471100000000.0
2009-11-01,8500799999999.999
2009-12-01,8496000000000.0
2010-01-01,8458100000000.0
2010-02-01,8507400000000.0
2010-03-01,8504500000000.0
2010-04-01,8535200000000.001
2010-05-01,8589900000000.0
2010-06-01,8609000000000.0
2010-07-01,8618799999999.999
2010-08-01,8669100000000.0
2010-09-01,8700100000000.0
2010-10-01,8749400000000.0
2010-11-01,8770000000000.0
2010-12-01,8801800000000.0
2011-01-01,8823100000000.0
2011-02-01,8886900000000.0
2011-03-01,8943500000000.0
2011-04-01,9004900000000.0
2011-05-01,9075500000000.0
2011-06-01,9151000000000.0
2011-07-01,9316600000000.0
2011-08-01,9507600000000.0
2011-09-01,9528300000000.0
2011-10-01,9562100000000.0
2011-11-01,9612600000000.0
2011-12-01,9660100000000.0
2012-01-01,9733300000000.0
2012-02-01,9785700000000.0
2012-03-01,9830600000000.0
2012-04-01,9884600000000.0
2012-05-01,9928400000000.0
2012-06-01,9999300000000.0
2012-07-01,10051800000000.0
2012-08-01,10121300000000.0
2012-09-01,10200800000000.0
2012-10-01,10267300000000.0
2012-11-01,10337600000000.0
2012-12-01,10459700000000.0
2013-01-01,10479500000000.0
2013-02-01,10482000000000.0
2013-03-01,10550000000000.0
2013-04-01,10585900000000.0
2013-05-01,10628200000000.0
2013-06-01,10684900000000.0
2013-07-01,10730800000000.0
2013-08-01,10790200000000.0
2013-09-01,10841300000000.0
2013-10-01,10956700000000.0
2013-11-01,10969000000000.0
2013-12-01,11028800000000.0
2014-01-01,11078900000000.0
2014-02-01,11161000000000.0
2014-03-01,11200200000000.0
2014-04-01,11256900000000.0
2014-05-01,11326300000000.0
2014-06-01,11380700000000.0
2014-07-01,11439900000000.0
2014-08-01,11469400000000.0
2014-09-01,11502800000000.0
2014-10-01,11563400000000.0
2014-11-01,11604700000000.0
2014-12-01,11681500000000.0
2015-01-01,11745200000000.0
2015-02-01,11863900000000.0
2015-03-01,11879600000000.0
2015-04-01,11927400000000.0
2015-05-01,11960300000000.0
2015-06-01,12005800000000.0
2015-07-01,12058400000000.0
2015-08-01,12109500000000.0
2015-09-01,12164500000000.0
2015-10-01,12196800000000.0
2015-11-01,12286000000000.0
2015-12-01,12344000000000.0
2016-01-01,12470000000000.0
2016-02-01,12545600000000.0
2016-03-01,12609700000000.0
2016-04-01,12698400000000.0
2016-05-01,12765600000000.0
2016-06-01,12831900000000.0
2016-07-01,12892000000000.0
2016-08-01,12978200000000.0
2016-09-01,13037900000000.0
2016-10-01,13105400000000.0
2016-11-01,13176500000000.0
2016-12-01,13209600000000.0
2017-01-01,13282700000000.0
2017-02-01,13351400000000.0
2017-03-01,13420600000000.0
2017-04-01,13482900000000.0
2017-05-01,13534800000000.0
2017-06-01,13558900000000.0
2017-07-01,13621000000000.0
2017-08-01,13679600000000.0
2017-09-01,13722100000000.0
2017-10-01,13777400000000.0
2017-11-01,13804100000000.0
2017-12-01,13852300000000.0
2018-01-01,13868200000000.0
2018-02-01,13910200000000.0
2018-03-01,13965500000000.0
2018-04-01,13987700000000.0
2018-05-01,14041200000000.0
2018-06-01,14102600000000.0
2018-07-01,14137000000000.0
2018-08-01,14187400000000.0
2018-09-01,14214600000000.0
2018-10-01,14228500000000.0
2018-11-01,14241600000000.0
2018-12-01,14358800000000.0
2019-01-01,14430800000000.0
2019-02-01,14472300000000.0
2019-03-01,14510700000000.0
2019-04-01,14541000000000.0
2019-05-01,14632500000000.0
2019-06-01,14754800000000.0
2019-07-01,14833800000000.0
2019-08-01,14919800000000.0
2019-09-01,15004800000000.0
2019-10-01,15144200000000.0
2019-11-01,15249900000000.0
2019-12-01,15319100000000.0
2020-01-01,15401800000000.0
2020-02-01,15458700000000.0
2020-03-01,15988600000000.0
2020-04-01,17002500000000.0
2020-05-01,17835200000000.0
2020-06-01,18129300000000.0
2020-07-01,18277800000000.0
2020-08-01,18357400000000.0
2020-09-01,18575200000000.0
2020-10-01,18735700000000.0
2020-11-01,18969800000000.0
2020-12-01,19124700000000.0
2021-01-01,19372300000000.0
2021-02-01,19614900000000.0
2021-03-01,19853700000000.0
2021-04-01,20110600000000.0
2021-05-01,20418700000000.0
2021-06-01,20460100000000.0
2021-07-01,20615300000000.0
2021-08-01,20835500000000.0
2021-09-01,20965900000000.0
2021-10-01,21144000000000.0
2021-11-01,21349400000000.0
2021-12-01,21490000000000.0
2022-01-01,21649700000000.0
2022-02-01,21708600000000.0
2022-03-01,21739700000000.0
2022-04-01,21644200000000.0
2022-05-01,21649200000000.0
2022-06-01,21607700000000.0
2022-07-01,21636200000000.0
2022-08-01,21632400000000.0
2022-09-01,21503400000000.0
